Frame,LK_Dots,Farneback_Avg_Magnitude,GMM_Foreground_Pixels,Mediapipe_Elbow_Angle,Mediapipe_Knee_Angle
1,43,0.32634267,2073600,,252.479697811988
2,43,5.7198205e-05,4,,
3,43,0.19832619,62634,,178.1419193128539
4,42,0.24919221,74807,,178.28837910570235
5,42,0.25024202,59709,,178.4332685172997
6,41,0.23144105,40768,,178.63153735520598
7,41,0.00017880721,4,,178.78303417423402
8,41,0.2388803,47488,,178.8553355360221
9,40,0.2508913,45626,,178.95701891952578
10,40,0.22962543,35186,,179.10043903958356
11,39,0.19175984,41206,,179.2261764180628
12,39,0.014813568,21580,,179.32900357629515
13,39,0.34208193,49136,,179.3835730366898
14,39,0.33535355,62176,,179.40014335498086
15,39,0.32973844,55647,,179.3810270094826
16,39,0.34240136,61860,,179.40137675091307
17,39,0.025077956,44521,,179.38468582080628
18,39,0.36718413,58432,,179.37539555660155
19,39,0.3454192,58751,,179.391425836075
20,39,0.41333717,70993,,179.36136552402243
21,39,0.31597045,75048,,179.38182397548997
22,39,3.654362e-05,57599,,179.41273883656157
23,38,0.2988095,59012,,179.42137803721758
24,38,0.40259713,67182,,179.47628188042822
25,38,0.3602784,81755,,179.53704404394227
26,37,0.40288505,86795,,179.5539006511137
27,37,6.8296074e-05,76732,,179.58101739012244
28,37,0.36005986,82862,,179.687023243262
29,36,0.30265453,88125,,179.72282580388148
30,36,0.362054,92795,,179.7416160453014
31,36,0.23479043,92650,,179.73821091407797
32,36,5.3468906e-05,78770,,179.73508279793398
33,36,0.40741935,85638,,179.7169683267953
34,36,0.36587593,90505,,179.6840137279751
35,36,0.34629095,92135,,179.627522532662
36,36,0.41348952,101503,,179.56349301827987
37,36,0.020071141,89870,,179.53035398284015
38,36,0.38878945,99248,,179.53124488374658
39,36,0.35339892,104556,,179.475892533012
40,36,0.3458564,112022,,179.50570078111784
41,36,0.30859807,119292,,179.53731557742495
42,36,0.019637745,108138,,179.58804041804032
43,36,0.3806583,112169,,179.6631437704768
44,36,0.3891942,117568,,179.65684827688162
45,36,0.43973538,130524,,179.88261628956147
46,36,0.49495077,140778,,180.40220359750194
47,36,3.3520653e-05,130095,,180.6397678398925
48,36,0.49352765,134705,,180.53420511292344
49,36,0.5729497,140212,,180.5510360787395
50,36,0.5249927,144103,,180.86246899826767
51,36,0.44547775,145922,,180.6832456447263
52,36,4.3752167e-05,138141,,180.7060215860391
53,36,0.60963553,146367,,180.73242954813446
54,36,0.5756611,153156,,179.98980135526008
55,36,0.60285664,154580,,180.31050165728524
56,36,0.6290858,162496,,181.09919684886648
57,36,0.009761846,151860,,181.4723538627457
58,35,0.6830258,168970,,181.94510456842406
59,35,0.7912698,177219,,182.407017337762
60,35,0.5364941,175904,,183.98415876359454
61,35,0.7807774,183610,,184.53637433858404
62,35,0.026603935,174407,,185.26209899018627
63,35,0.85658336,183469,,185.83598242196808
64,35,0.8507835,187532,,186.71191966628786
65,35,0.752627,187846,,187.66316453756812
66,35,0.9196942,195293,,187.97318308592665
67,35,0.018259535,186561,,188.28607354297267
68,35,0.86713135,194231,,188.99344308180218
69,35,1.0407389,193734,,189.1778587991004
70,35,0.79723173,196328,,189.08235642712566
71,35,1.136518,194911,,188.65698381644944
72,35,0.005038074,187802,,188.80510995251603
73,35,1.0511259,193978,,189.66805335956607
74,35,0.6388757,206318,,189.93642496756524
75,35,0.5205859,215011,,191.0774785063772
76,35,0.43581277,216043,,189.53822675686573
77,35,7.056417e-05,208960,,190.07217921193865
78,35,0.3743606,210035,,191.06391381023303
79,35,0.31629142,206200,,193.44920158283907
80,34,0.25940496,200286,,194.59718292249116
81,34,0.2937231,193806,,193.6677491144586
82,34,0.011857051,186514,,192.0530621358861
83,34,0.36007246,183185,,190.18296226211058
84,33,0.3511954,177564,,187.12456694651215
85,33,0.29381475,171163,,187.15216451604113
86,33,0.28854942,167969,,187.3064346265478
87,33,0.08479351,160833,,188.15712464386766
88,33,0.23992558,156446,,187.48109274389583
89,33,0.20455176,153308,,187.47583247872456
90,33,0.17615034,148052,,187.62896047977736
91,33,0.23456825,146774,,187.60842246609073
92,33,0.04548224,139903,,187.26188565264604
93,33,0.2065748,134535,,187.10431030025762
94,33,0.22064172,130440,,186.8173836073489
95,33,0.24125299,132908,,186.68818429143766
96,32,0.24907194,134009,,185.74628516054804
97,30,0.2259548,133503,,185.4322332246417
98,30,0.00015949363,126526,,185.29232900454926
99,29,0.2618994,131850,,185.20437282350628
100,29,0.19522226,132688,,183.02216407671153
101,29,0.25286165,133756,,182.00631796634266
102,29,0.27976668,140401,,181.1729690046723
103,29,0.016094279,137483,,181.00800780981922
104,29,0.4267386,146312,,180.82912068723024
105,29,0.43442804,156161,,180.9243379961901
106,29,0.5125389,161721,,182.2879844223523
107,29,0.6297047,173387,,182.84467650696857
108,29,0.02291275,167795,,183.2407160563533
109,29,1.2000525,172203,,183.5510052721811
110,29,1.0695316,175749,,186.05066798166905
111,29,2.0586462,189235,,186.3792236196553
112,25,1.4645118,202639,,185.41516158087347
113,24,3.1515225e-05,197078,,185.2432558773812
114,24,1.136523,205216,,186.43879186784787
115,24,0.9414666,222005,,187.32771236478655
116,24,1.0281507,235532,,187.1354298100168
117,23,1.0489085,244567,,186.76246271478863
118,23,2.1219941e-05,238004,,186.5896356038595
119,23,0.71221596,236001,,185.94707504321082
120,23,1.1152326,251141,,185.32830404251536
121,23,1.1602561,262773,,184.4376097548258
122,23,1.1926831,269913,,184.32207494425677
123,23,5.062448e-05,264276,,184.35600133533646
124,23,1.034108,278543,,183.83222694873336
125,23,0.9154509,291435,,182.91338481489458
126,23,0.8132661,298978,,182.74574820490417
127,23,0.82248944,310476,,182.0337047563749
128,23,0.010593552,308916,,181.08829624399118
129,23,0.6204417,312117,,180.42480763908918
130,23,0.6580768,314820,,179.91413308041666
131,23,0.6188997,321189,,179.93847834827292
132,23,0.512841,328838,,180.49543726101197
133,23,0.021131558,324677,,180.93773964063837
134,23,0.44218573,326485,,180.8754830259445
135,23,0.43527958,327515,,180.75145151352325
136,23,0.44911742,334410,,180.37206695331662
137,23,0.39261845,335487,,180.12443893260084
138,23,5.983695e-05,328585,,179.79787196767228
139,23,0.29671183,323015,,179.69924910752064
140,23,0.39355257,327968,,179.78263445669836
141,23,0.39542153,330359,,179.77638278866942
142,23,0.38731056,330169,,179.8162957869446
143,22,5.9304813e-05,321160,,179.81049775948898
144,22,0.42788586,319495,,179.77232138227836
145,22,0.3568666,321032,,179.87762299820113
146,22,0.3682597,322710,,180.08384190761151
147,22,0.3327656,321795,,180.09841238835793
148,22,1.9069885e-05,314276,,180.18819099305952
149,22,0.3227946,313894,,180.19605458578675
